"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Подушка безопасности","1","POST /podushka-bezopasnosti/api/v1/policy/user/full/create — валидация","3","0","ИНН","0"
"0","Подушка безопасности","0","POST /podushka-bezopasnosti/api/v1/cached/user/index — валидация","2","3","Границы","0"
"0","Подушка безопасности","2","POST /podushka-bezopasnosti/api/v1/policy/user/full/create — валидация","2","0","Дата рождения","0"
"0","Подушка безопасности","0","POST /podushka-bezopasnosti/api/v1/cached/user/index — валидация","7","4","Негатив","0"
"0","Подушка безопасности","0","POST /podushka-bezopasnosti/api/v1/policy/user/full/create — валидация","4","0","Телефон","0"
"0","Подушка безопасности","0","POST /podushka-bezopasnosti/api/v1/cached/user/index — валидация","1","0","Поведение бэка","0"
"0","Подушка безопасности","0","POST /podushka-bezopasnosti/api/v1/policy/user/full/create — валидация","6","0","Email","0"
"0","Подушка безопасности","0","POST /podushka-bezopasnosti/api/v1/policy/user/full/create — валидация","4","0","Адреса","0"
"0","Подушка безопасности","2","POST /podushka-bezopasnosti/api/v1/policy/user/full/create — валидация","6","0","ФИО","0"
"0","Подушка безопасности","0","Запрос СМС-кода и подтверждение договора","2","0","Подтверждение договора","0"
"0","Подушка безопасности","0","POST /podushka-bezopasnosti/api/v1/policy/user/full/create — валидация","3","0","Паспорт","0"
"0","Подушка безопасности","0","POST /podushka-bezopasnosti/api/v1/policy/user/full/create — валидация","2","0","Паспорт — код подразделения","0"
"0","Подушка безопасности","0","E2E сценарий оформления полиса","1","0","Успешный сценарий","0"
"0","Подушка безопасности","1","POST /podushka-bezopasnosti/api/v1/cached/user/index — валидация","0","0","Контракт","0"
"0","Подушка безопасности","0","Запрос СМС-кода и подтверждение договора","1","0","Запрос СМС-кода","0"
"0","Подушка безопасности","0","POST /podushka-bezopasnosti/api/v1/cached/user/index — валидация","1","0","Позитив","0"
"0","Подушка безопасности","0","POST /podushka-bezopasnosti/api/v1/policy/user/full/create — валидация","1","0","Паспорт — дата выдачи","0"
"0","Подушка безопасности","0","POST /podushka-bezopasnosti/api/v1/policy/user/full/create — валидация","1","0","Позитив","0"
"0","Подушка безопасности","0","Проверка доступности лендинга","1","0","","0"
