"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","513","Дата рождения младше 18 лет — 400 (случайный 0..17)","tests.api","Fri Nov 14 21:35:20 UTC 2025","skipped","Fri Nov 14 21:35:20 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","200","Срок — None (null) → 400","tests.api","Fri Nov 14 21:35:27 UTC 2025","passed","Fri Nov 14 21:35:27 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","231","Телефон — только маска '+7 (900) 000-00-00' принимается","tests.api","Fri Nov 14 21:35:33 UTC 2025","passed","Fri Nov 14 21:35:33 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","199","ФИО — невалидные значения по аналитике → 400","tests.api","Fri Nov 14 21:35:31 UTC 2025","passed","Fri Nov 14 21:35:31 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","4378","смс подтверждение → успешный ответ 200","tests.api","Fri Nov 14 21:35:45 UTC 2025","passed","Fri Nov 14 21:35:50 UTC 2025","TestSmsAndConfirm","test_sms_confirm","",""
"","1069","Дата рождения — неверный формат (19800101) → 400","tests.api","Fri Nov 14 21:35:40 UTC 2025","failed","Fri Nov 14 21:35:41 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","240","Email — обязательное поле (''/null → 400)","tests.api","Fri Nov 14 21:35:34 UTC 2025","passed","Fri Nov 14 21:35:34 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","200","Телефон — только маска '+7 (900) 000-00-00' принимается","tests.api","Fri Nov 14 21:35:32 UTC 2025","passed","Fri Nov 14 21:35:33 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","3238","Запрос смс-кода → успешный ответ 200","tests.api","Fri Nov 14 21:35:42 UTC 2025","passed","Fri Nov 14 21:35:45 UTC 2025","TestSmsAndConfirm","test_sms_confirm","",""
"","784","Дата рождения — в будущем → 400","tests.api","Fri Nov 14 21:35:41 UTC 2025","failed","Fri Nov 14 21:35:42 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","247","Email — формат и длина","tests.api","Fri Nov 14 21:35:34 UTC 2025","passed","Fri Nov 14 21:35:34 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","216","Почтовый адрес — fullAddress обязателен (''/null → 400)","tests.api","Fri Nov 14 21:35:39 UTC 2025","passed","Fri Nov 14 21:35:40 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","283","Email — формат и длина","tests.api","Fri Nov 14 21:35:33 UTC 2025","passed","Fri Nov 14 21:35:33 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","395","Срок — невалидная случайная строка → 400","tests.api","Fri Nov 14 21:35:24 UTC 2025","passed","Fri Nov 14 21:35:25 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","7507","E2E: успешное оформление полиса с валидными данными","tests.e2e","Fri Nov 14 21:35:52 UTC 2025","passed","Fri Nov 14 21:36:00 UTC 2025","","test_e2e_pillow","",""
"","455","Адрес регистрации — fullAddress обязателен (''/null → 400)","tests.api","Fri Nov 14 21:35:39 UTC 2025","passed","Fri Nov 14 21:35:39 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","195","Серия/номер паспорта — валидные и невалидные варианты","tests.api","Fri Nov 14 21:35:37 UTC 2025","passed","Fri Nov 14 21:35:37 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","463","Email — обязательное поле (''/null → 400)","tests.api","Fri Nov 14 21:35:34 UTC 2025","passed","Fri Nov 14 21:35:35 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","241","Почтовый адрес — fullAddress обязателен (''/null → 400)","tests.api","Fri Nov 14 21:35:39 UTC 2025","passed","Fri Nov 14 21:35:39 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
